iter	Passed	Remaining
777	2219	2629
778	2222	2627
779	2225	2625
780	2228	2622
781	2231	2620
782	2235	2617
783	2238	2614
784	2241	2612
785	2244	2609
786	2247	2607
787	2250	2604
788	2253	2601
789	2256	2599
790	2259	2597
791	2262	2594
792	2265	2591
793	2269	2589
794	2272	2586
795	2275	2583
796	2278	2581
797	2281	2579
798	2284	2576
799	2287	2573
800	2290	2571
801	2293	2567
802	2296	2565
803	2299	2562
804	2302	2559
805	2305	2557
806	2308	2554
807	2312	2552
808	2315	2549
809	2318	2547
810	2321	2544
811	2324	2541
812	2327	2539
813	2330	2536
814	2333	2533
815	2336	2531
816	2339	2528
817	2342	2526
818	2345	2523
819	2349	2520
820	2352	2518
821	2355	2515
822	2358	2513
823	2361	2510
824	2364	2507
825	2368	2505
826	2371	2503
827	2375	2501
828	2378	2498
829	2381	2496
830	2384	2493
831	2387	2490
832	2390	2487
833	2393	2485
834	2396	2482
835	2399	2479
836	2402	2476
837	2405	2473
838	2408	2471
839	2411	2469
840	2415	2466
841	2418	2464
842	2421	2461
843	2424	2459
844	2427	2456
845	2431	2454
846	2434	2451
847	2437	2449
848	2441	2447
849	2444	2444
850	2447	2442
851	2450	2439
852	2453	2436
853	2456	2433
854	2460	2431
855	2463	2428
856	2466	2425
857	2469	2423
858	2472	2420
859	2476	2418
860	2480	2416
861	2484	2415
862	2487	2412
863	2490	2409
864	2493	2406
865	2496	2404
866	2499	2401
867	2503	2399
868	2506	2397
869	2509	2393
870	2511	2390
871	2514	2387
872	2516	2384
873	2520	2382
874	2524	2379
875	2527	2377
876	2530	2374
877	2533	2371
878	2536	2368
879	2539	2366
880	2542	2363
881	2545	2360
882	2547	2357
883	2550	2354
884	2553	2351
885	2557	2349
886	2559	2345
887	2562	2342
888	2565	2339
889	2568	2337
890	2570	2334
891	2573	2330
892	2575	2327
893	2578	2324
894	2581	2321
895	2584	2319
896	2587	2316
897	2590	2313
898	2593	2311
899	2597	2308
900	2600	2305
901	2604	2303
902	2607	2301
903	2610	2298
904	2613	2295
905	2616	2292
906	2618	2289
907	2621	2286
908	2624	2283
909	2627	2281
910	2630	2278
911	2633	2275
912	2636	2272
913	2639	2269
914	2642	2266
915	2645	2264
916	2648	2261
917	2651	2258
918	2654	2256
919	2657	2253
920	2660	2250
921	2663	2247
922	2666	2244
923	2669	2241
924	2671	2238
925	2674	2235
926	2678	2233
927	2681	2230
928	2683	2227
929	2686	2224
930	2688	2220
931	2691	2217
932	2694	2214
933	2697	2211
934	2699	2208
935	2702	2205
936	2704	2202
937	2707	2199
938	2710	2196
939	2712	2193
940	2715	2190
941	2717	2186
942	2719	2183
943	2722	2180
944	2725	2177
945	2727	2174
946	2730	2171
947	2732	2167
948	2735	2164
949	2738	2161
950	2740	2158
951	2743	2155
952	2746	2152
953	2749	2149
954	2752	2147
955	2755	2144
956	2759	2142
957	2762	2139
958	2765	2136
959	2767	2133
960	2770	2130
961	2772	2127
962	2775	2123
963	2777	2120
964	2780	2117
965	2783	2115
966	2786	2112
967	2789	2109
968	2792	2106
969	2794	2103
970	2797	2100
971	2800	2097
972	2802	2094
973	2805	2091
974	2808	2088
975	2810	2085
976	2813	2082
977	2816	2079
978	2818	2076
979	2821	2073
980	2824	2070
981	2826	2066
982	2829	2063
983	2831	2060
984	2835	2058
985	2838	2055
986	2840	2052
987	2843	2049
988	2845	2045
989	2848	2042
990	2851	2039
991	2853	2036
992	2856	2033
993	2859	2030
994	2861	2027
995	2864	2024
996	2866	2021
997	2869	2018
998	2872	2015
999	2875	2012
1000	2877	2009
